name,category,pid,price,image,description,rating,brand
"Khadi Banaswara handloom fabric cotton, For Garments",Handloom Fabrics,17,65.0,//5.imimg.com/data5/SELLER/Default/2021/9/WM/KE/MY/62639270/banaswara-500x500.jpeg,"Handloom Fabric  Width  44  amp  GSM  130            
Additional Information  Delivery Time  7   Production Capacity  10000 
",4.0,J. Bharat Khadi Bhandar
Wool Fabric woven Handloom Fabrics,Handloom Fabrics,18,320.0,//5.imimg.com/data5/SELLER/Default/2021/10/FE/KH/ZH/87748741/a-new-design-made-with-postermywall-1--500x500.jpg,Omdev Fashion,4.6,OMDEV FASHION
"Jacquard Geometric Fabrics, Multicolour",Geometric Fabric,19,165.0,//5.imimg.com/data5/SELLER/Default/2021/5/FS/AC/YU/84968492/coco-1-500x500.jpg,"Ready Made Curtain is easily adapted to fitany window, door & long door size and thewide range of available textiles allows you totailor the atmosphere in your home.Whether you want particular tones andnatural finishes or something bold andcolorful, we can design Ready Made Curtainto make it unique.The most common sizes on the Indianmarket are: 4x5 Feet, 4x7 Feet and 4x9Feet.minimum order 600 meter 
Additional Information  Delivery Time  40 day's from order 
",4.1,Ravi Exports Ltd.
Digital Print Crepe Geometrical Printed Fabric for Kids Garments,Geometric Fabric,20,93.0,//5.imimg.com/data5/SELLER/Default/2021/12/QA/MJ/JY/17641534/whatsapp-image-2021-12-08-at-11-21-33-1--500x500.jpeg,"Trendy and Fashionable Digital Printed fabrics with mix match design. Suitable for Garments and Western wear.            
",4.6,Sohini Silk Mill
Geometrical Cotton,Geometric Fabric,21,160.0,//5.imimg.com/data5/SELLER/Default/2021/4/GF/HE/SK/84968492/coco-2-500x500.jpg,"Ready Made Curtain is easily adapted to fitany window, door & long door size and thewide range of available textiles allows you totailor the atmosphere in your home.Whether you want particular tones andnatural finishes or something bold andcolorful, we can design Ready Made Curtainto make it unique.The most common sizes on the Indianmarket are: 4x5 Feet, 4x7 Feet and 4x9Feet.            
",4.1,Ravi Exports Ltd.
Chinnon Bandhani Bhandej Dupatta,Bhandej Dupatta,22,110.0,//5.imimg.com/data5/SELLER/Default/2022/1/WF/ZB/AW/132647943/bhandej-dupatta-500x500.jpeg,Chinnon Crush Bhandej Dupatta,5.0,Marudhara Fashion
Cotton Bandhani Rayon Dupatta Bandhej,Bhandej Dupatta,23,70.0,//5.imimg.com/data5/SELLER/Default/2021/3/CM/QX/ES/9887290/rayon-dupatta-bandhej-500x500.jpeg,"Rayon dupatta bandhej            
",4.4,Navkar Creation
Cotton Gota Patti Bandhej Dupatta,Bhandej Dupatta,24,1530.0,//5.imimg.com/data5/UB/VL/MY-5562519/bandhej-dupatta-500x500.jpg,"Bandhani Dupatta With Gottapatti Work Border            
",4.2,Kalasanskruti Retail Private Limited
Pure Bhandej and cibbory work Bandhej Chiffon Dupatta,Bhandej Dupatta,25,150.0,//5.imimg.com/data5/ANDROID/Default/2021/4/AD/GJ/HP/2520892/1618834984462-jpg-500x500.jpg,"Girls ciffon bhandej dupatta, cibbory dupatta, najnin print dupatta, bhandej dupatta            
",4.0,M.S. Designer
For Flooring Interior Designers Carpet,Designer Carpet,26,360.0,//5.imimg.com/data5/ANDROID/Default/2020/9/HI/FY/CS/4327510/product-jpeg-500x500.jpg,"Very soft and silky smooth carpet            
",4.7,Pihue Creations
